trade_id,type,triangle_id,signal_ts,total_duration_ms,signal_to_leg1_ms,leg1_duration_ms,leg2_duration_ms,leg3_duration_ms,predicted_net_pct,actual_net_pct,slippage_pct,starting_usdt,ending_usdt,leg1_price,leg2_price,leg3_price,final_state,abort_reason
T1781418464405905-0,paper,ATOM-BTC-USDT REV,1781418464404,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418464405905-0,testnet,ATOM-BTC-USDT REV,1781418464404,710,1,379,166,164,0.150000,-0.388211,0.538211,100.000000,99.611789,1.952000,0.000030,64330.000000,COMPLETE,
T1781418466905919-1,paper,ATOM-BTC-USDT REV,1781418466904,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418466905919-1,testnet,ATOM-BTC-USDT REV,1781418466904,708,1,172,366,169,0.150000,-0.388211,0.538211,100.000000,99.611789,1.952000,0.000030,64330.000000,COMPLETE,
T1781418469405657-2,paper,ATOM-BTC-USDT REV,1781418469405,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418469405657-2,testnet,ATOM-BTC-USDT REV,1781418469405,767,0,464,148,155,0.150000,-0.388211,0.538211,100.000000,99.611789,1.952000,0.000030,64330.000000,COMPLETE,
T1781418471905577-3,paper,ATOM-BTC-USDT REV,1781418471905,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418471905577-3,testnet,ATOM-BTC-USDT REV,1781418471905,465,0,173,147,145,0.150000,-0.388211,0.538211,100.000000,99.611789,1.952000,0.000030,64330.000000,COMPLETE,
T1781418474405982-4,paper,ATOM-BTC-USDT REV,1781418474405,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418474405982-4,testnet,ATOM-BTC-USDT REV,1781418474405,674,1,164,147,362,0.150000,-0.370311,0.520311,100.000000,99.629689,1.952000,0.000030,64341.560000,COMPLETE,
T1781418476905602-5,paper,ATOM-BTC-USDT REV,1781418476905,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418476905602-5,testnet,ATOM-BTC-USDT REV,1781418476905,655,0,157,345,153,0.150000,-0.370311,0.520311,100.000000,99.629689,1.952000,0.000030,64341.560000,COMPLETE,
T1781418479405633-6,paper,ATOM-BTC-USDT REV,1781418479405,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418479405633-6,testnet,ATOM-BTC-USDT REV,1781418479405,460,0,154,151,155,0.150000,-0.370311,0.520311,100.000000,99.629689,1.952000,0.000030,64341.560000,COMPLETE,
T1781418481906422-7,paper,ATOM-BTC-USDT REV,1781418481905,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418481906422-7,testnet,ATOM-BTC-USDT REV,1781418481905,755,1,455,147,152,0.150000,-0.370311,0.520311,100.000000,99.629689,1.952000,0.000030,64341.560000,COMPLETE,
T1781418484405814-8,paper,ATOM-BTC-USDT REV,1781418484405,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418484405814-8,testnet,ATOM-BTC-USDT REV,1781418484405,721,0,152,152,417,0.150000,-0.370311,0.520311,100.000000,99.629689,1.952000,0.000030,64341.560000,COMPLETE,
T1781418486906448-9,paper,ATOM-BTC-USDT REV,1781418486905,0,0,0,0,0,0.150000,-0.289505,0.439505,100.000000,99.710495,1.949000,0.000030,64330.010000,COMPLETE,
T1781418486906448-9,testnet,ATOM-BTC-USDT REV,1781418486905,675,1,164,365,145,0.150000,-0.370311,0.520311,100.000000,99.629689,1.952000,0.000030,64341.560000,COMPLETE,
